gram_size,복합명사,빈도
2,춤_패,73
3,과거_현재_미래,72
3,수원_발레_축제,72
4,한국_춤_예술_센터,72
2,모리스_베자르,72
2,고용_노동부,72
2,수급_자격,72
2,시너지_효과,72
3,연극_무용_음악,72
2,세기_후반,72
2,김_명,72
2,탄생_기념,72
2,김백봉_선생,72
2,선생_추모,72
2,해외_투어,72
2,평론가_상,72
2,안무_랩,72
2,선정_기준,72
2,대학_탈춤,72
2,지역_특성,72
2,인상_장면,72
2,기반_창작,72
2,한국_장애인,72
2,한국_컨템포러리,72
3,상주_단체_육성,71
4,한국_문화_예술_위원회,71
2,대_보험,71
3,한국_무용_협회,71
2,자문_위원,71
2,아비뇽_페스티벌,71
2,보유자_지정,71
3,한국문화예술위원회_공연_예술,71
2,토_소,71
2,연수_단원,71
3,예술_감독_안무가,71
2,무용제_경연,71
2,개최_예정,71
2,세계_구축,71
2,연극_영화,71
2,문화_회관,71
2,극장_문,71
2,역할_중요,71
2,표현_자유,71
2,일상_움직임,71
2,춤_연구회,71
3,예술_감독_부임,70
2,기자_간담회,70
2,고집_딸,70
2,공감대_형성,70
2,우편_접수,70
3,아르코예술극장_극장_공연,70
2,매진_기록,70
2,온라인_상영,70
2,추진_위원회,70
2,공개_인터뷰,70
2,협회_주최,70
2,미국_유럽,70
2,발레단_주역,70
2,중점_안무,70
2,공간_이동,70
2,창작_역량,70
2,일상_삶,70
2,재단_지원,70
2,안무_저작,70
2,창작_탈춤,70
3,공연_예술_작품,70
2,조명_감독,70
3,평창_동계_올림픽,69
3,아트_홀_맥,69
3,국립극장_레퍼토리_시즌,69
3,울산_시립_무용단,69
3,상_베스트_작품,69
2,안나_핼프린,69
3,예술_활동_증명,69
3,강수진_예술_감독,69
3,예술_교육_프로그램,69
2,홀_맥,69
2,사회_공헌,69
2,서울문화재단_한국문화예술위원회,69
2,신청_기간,69
2,국립극장_레퍼토리,69
2,가상_세계,69
2,세계_대전,69
2,조명_빛,69
2,기획_홍보,69
2,독립_무용가,69
2,발레_아카데미,69
2,교육_센터,69
2,공연_예술제,69
5,춤_비평가_상_베스트_작품,68
4,비평가_상_베스트_작품,68
3,댄스_씨어터_창,68
2,제롬_벨,68
3,해외_무대_진출,68
2,일자리_창출,68
2,서울특별시_서울문화재단,68
2,대화_모임,68
2,씨어터_창,68
2,온라인_중계,68
2,시장_진출,68
